id,fecha,parcela,estrato,forofito,num_forofito,corteza,dap,tipo_bosque,morfotipo,genero,especie,tipo_reprod,estructura_sexual,estructura_asexual,tipo_espora,tamano_espora,espora_largo,espora_ancho,espora_color,himenio,tlc,Observaciones
700,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Crustoso,Porina,Porina mastoidea,ambas,peritecio,isidias coraloides,septada,mediano,"36,5","5,4",hialina,no amiloideo,,
701,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Crustoso,Pyrenula,Pyrenula aspistea,sexual,peritecio,ausente,septada,pequeña,10,4,hialina,amiloideo,,
702,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Crustoso,Cryptothecia,Cryptothecia sp2,asexual,ausente,soredio,ausente,ausente,,,ausente,ausente,,
703,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp3,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
704,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Crustoso,Cryptothecia,Cryptothecia sp5,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
705,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
706,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Crustoso,Cryptothecia,Cryptothecia sp2,asexual,ausente,soredio,ausente,ausente,,,ausente,ausente,,
707,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Crustoso,Pyrenula,Pyrenula aspistea,sexual,peritecio,ausente,septada,pequeña,7,"3,16",hialina,amiloideo,,*
708,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp3,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
709,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Uno,fina escamosa,"15,1",,Crustoso,indeterminado,morfo B,asexual,ausente,ausente,ausente,ausente,,,ausente,ausente,,
710,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Crustoso,Cryptothecia,Cryptothecia sp3,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
711,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
712,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",,Crustoso,indeterminado,morfo B,asexual,ausente,ausente,ausente,ausente,,,ausente,ausente,,
713,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp3,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
714,24/10/2019,Uno,Uno,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp2,sexual,apotecio,ausente,simple,pequeña,7,3,hialina,amiloideo,,
715,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Crustoso,Cryptothecia,Cryptothecia sp6,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
716,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp5,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
717,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
718,24/10/2019,Uno,Dos,Diatenopteryx sorbifolia,Dos,casi lisa con escamas,16,parcela permanente,Crustoso,Porina,Porina mastoidea,ambas,peritecio,isidias coraloides,septada,mediano,36,5,hialina,no amiloideo,,*
719,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp8,asexual,ausente,isidias y soralios,ausente,ausente,,,ausente,ausente,,
720,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp3,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
721,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp5,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
722,24/10/2019,Uno,Dos,Chrysophyllum gonocarpum,Dos,fina escamosa,"16,8",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp6,estéril,ausente,ausente,ausente,ausente,,,ausente,ausente,,
723,24/10/2019,Uno,Dos,Diatenopteryx sorbifolia,Tres,casi lisa con escamas,"17,1",parcela permanente,Crustoso,Herpothallon,Herpothallon sp1,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
724,24/10/2019,Uno,Dos,Diatenopteryx sorbifolia,Tres,casi lisa con escamas,"16,1",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp7,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
725,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,Tres,casi lisa con escamas,"16,1",parcela permanente,Crustoso,Herpothallon,Herpothallon sp1,asexual,ausente,isidias,ausente,ausente,,,ausente,ausente,,
726,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,Tres,casi lisa con escamas,"16,1",parcela permanente,Escuamuloso,Phyllopsora,Phyllopsora sp1,ambas,apotecio,isidias,simple,pequeña,4,"2,5",hialina,amiloideo,,
727,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,cuatro,casi lisa con escamas,18,parcela permanente,Crustoso,Porina,Porina mastoidea,ambas,peritecio,isidias coraloides,septada,mediano,49,4,hialina,no amiloideo,,*
728,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,cuatro,casi lisa con escamas,18,parcela permanente,Crustoso,Myriotrema,Myriotrema sp1,asexual,ausente,soralia,ausente,ausente,,,ausente,ausente,,
729,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,cuatro,casi lisa con escamas,18,parcela permanente,Crustoso,Cryptothecia,Cryptothecia sp3,ausente,ausente,ausente,ausente,ausente,,,ausente,ausente,,
730,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,cuatro,casi lisa con escamas,18,parcela permanente,Crustoso,Cresponea,Cresponea sp1,sexual,apotecio,ausente,septada,mediano,29,4,ausente,amiloideo,,
731,24/10/2019,Uno,Uno,Diatenopteryx sorbifolia,cuatro,casi lisa con escamas,18,,Crustoso,indeterminado,morfo B,asexual,ausente,ausente,ausente,ausente,,,ausente,ausente,,
