muestra,nro_uplc,area_prom,usnico,peso_liquen,extracto,rendimiento,alt,orientacion,slope,exp
1,M1,257855,17.31626941,0.5074,0.0057,5.616870319,900,south,vertical,160
2,M2,310913,22.10662694,0.5364,0.0029,2.703206562,900,flat,flat,178
3,M3,358416.5,26.39549476,0.5427,0.0048,4.422332781,900,south,vertical,137
4,M4,325232,23.39942217,0.5317,0.0039,3.667481663,900,south,vertical,168
5,M8,377481,28.11673889,0.5396,0.005,4.633061527,900,north,vertical,178
6,M9,190224,11.21018418,0.5657,0.0038,3.358670674,900,north,vertical,178
7,M7,361780,26.69916938,0.5102,0.0027,2.646021168,900,north,vertical,120
8,M6,296707,20.82403395,0.4955,0.002,2.018163471,900,flat,flat,130
9,M5,367967.6667,27.25782473,0.533,0.0037,3.470919325,900,flat,flat,160
10,M21,341617,24.87874684,0.5295,0.0037,3.493862134,1800,north,vertical,177
11,M25,335068,24.2874684,0.5143,0.0042,4.083219911,1800,north,vertical,70
12,M23,277785,19.11565547,0.5007,0.0039,3.894547633,1800,north,vertical,170
13,M24,265806,18.03412784,0.5234,0.0053,5.063049293,1800,south,vertical,160
14,M26,247045,16.3402853,0.534,0.0034,3.183520599,1800,south,vertical,170
15,M20,257405,17.27564103,0.5012,0.0045,4.489225858,1800,south,vertical,100
16,M22,237775,15.50334056,0.5016,0.0048,4.784688995,1800,flat,flat,160
17,M19,240098,15.71307331,0.5106,0.0049,4.798276537,1800,flat,flat,160
18,M27,287822,20.02184904,0.5143,0.0029,2.819366129,1800,flat,flat,100
19,M18,274275,18.79875406,0.5057,0.0031,3.065058335,2100,north,vertical,175
20,M15,258511,17.37549657,0.5155,0.0049,4.752667313,2100,flat,flat,142
21,M12,240823.5,15.7785753,0.5094,0.0048,4.711425206,2100,flat,flat,172
22,M11,297325,20.87983026,0.5181,0.0037,3.57073924,2100,flat,flat,170
23,M16,260399.5,17.54600036,0.5122,0.0054,5.271378368,2100,south,vertical,165
24,M17,223192,14.18671,0.508,0.0037,3.641732283,2100,south,vertical,170
25,M10,222833,14.15429758,0.5413,0.0047,4.341400333,2100,south,vertical,165
26,M14,209123,12.9164861,0.5079,0.0033,3.248670998,2100,north,vertical,135
27,M13,244338,16.09588299,0.5238,0.0036,3.436426117,2100,north,vertical,140
