muestra,roca,tmto,MS,Pmesc,Pmsec,area,CRHtot,CRHint,CRHext,Chtot,Chint,spp
R2_1-1,R2,control_baja,1.4,3.1,2.1,2796.852,0.000607826,0.000250281,0.000357545,1.7,0.7,Usnea_amblyoclada
R2_1-2,R2,control_baja,3.2,8.2,7.1,4322.198,0.001156819,0.000902319,0.0002545,5,3.9,Parmotrema_reticulatum
R2_2-3,R2,control_baja,2.1,6.3,4.6,3809.988,0.001102366,0.00065617,0.000446196,4.2,2.5,Parmotrema_reticulatum
R3_1-1,R3,control_baja,0.7,1.7,1.1,1617.838,0.000618109,0.000247244,0.000370865,1,0.4,Usnea_amblyoclada
R3_1-3,R3,control_baja,1.1,3,2.1,1704.733,0.001114544,0.000586602,0.000527942,1.9,1,Usnea_amblyoclada
R3_2-1,R3,control_baja,4.2,11.6,9.8,6669.479,0.001109532,0.000839646,0.000269886,7.4,5.6,Parmotrema_reticulatum
R3_2-3,R3,control_baja,3.8,6.5,5.1,2593.796,0.001040945,0.000501196,0.000539749,2.7,1.3,Usnea_amblyoclada
R3_2-2,R2,control_baja,2.4,7.6,5.6,5248.552,0.000990749,0.000609692,0.000381057,5.2,3.2,Parmotrema_reticulatum
R30_1-1,R30,media_alta,0.2,1,0.5,1993.559,0.000401292,0.000150485,0.000250808,0.8,0.3,Parmotrema_reticulatum
R30_2-1,R30,media_alta,0.9,1.7,1.4,2042.38,0.0003917,0.000244812,0.000146887,0.8,0.5,Parmotrema_reticulatum
R30_2-2,R30,media_alta,0.8,2.1,1.4,1952.566,0.000665791,0.000307288,0.000358503,1.3,0.6,Usnea_amblyoclada
R30_2-3,R30,media_alta,0.2,0.9,0.3,2159.069,0.000324214,4.63E-05,0.000277898,0.7,0.1,Parmotrema_reticulatum
R30_1-2,R30,media_alta,1,2.5,1.7,1880.516,0.000797653,0.000372238,0.000425415,1.5,0.7,Usnea_amblyoclada
R31_2-2,R31,media_alta,1.3,3.2,2.3,1814.368,0.001047197,0.000551156,0.00049604,1.9,1,Usnea_amblyoclada
R6_1-1,R6,baja_media,1.3,3.4,2.3,2833.638,0.000741097,0.000352903,0.000388194,2.1,1,Usnea_amblyoclada
R6_1-2,R6,baja_media,0.6,1.6,1.2,1680.143,0.000595187,0.000357112,0.000238075,1,0.6,Parmotrema_reticulatum
R6_1-3,R6,baja_media,1,3.1,2.1,3307.914,0.000634841,0.000332536,0.000302305,2.1,1.1,Parmotrema_reticulatum
R6_2-1,R6,baja_media,1.2,3,2.2,2438.79,0.000738071,0.000410039,0.000328032,1.8,1,Usnea_amblyoclada
R6_2-2,R6,baja_media,1.1,2.7,2,2118.962,0.000755087,0.000424736,0.00033035,1.6,0.9,Usnea_amblyoclada
R6_2-3,R6,baja_media,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parmotrema_reticulatum
R8_1-2 y 2-2,R8,baja_media,0.8,2.5,1.6,2072.944,0.00082009,0.000385925,0.000434165,1.7,0.8,Parmotrema_reticulatum
R8_1-2 y 2-2,R8,baja_media,1,2.5,1.7,2238.977,0.000669949,0.000312643,0.000357306,1.5,0.7,Usnea_amblyoclada
R7_1-2,R7,baja_media,0.6,2.3,1.5,1872.353,0.000907948,0.000480679,0.00042727,1.7,0.9,Parmotrema_reticulatum
R7_1-1,R7,baja_media,0.4,0.9,0.7,956.259,0.000522871,0.000313723,0.000209148,0.5,0.3,Usnea_amblyoclada
R7_1-3 y 2-3,R7,baja_media,0.5,1.1,0.8,1326.935,0.00045217,0.000226085,0.000226085,0.6,0.3,Usnea_amblyoclada
R7_1-3 y 2-3,R7,baja_media,0.8,2.8,1.6,1952.678,0.001024234,0.000409694,0.000614541,2,0.8,Parmotrema_reticulatum
R8_1-1 y 2-1,R8,baja_media,1.6,3.9,2.9,1372.297,0.001676022,0.000947317,0.000728705,2.3,1.3,Usnea_amblyoclada
R8_1-1 y 2-1,R8,baja_media,1.1,3.1,2.2,3341.187,0.00059859,0.000329224,0.000269365,2,1.1,Parmotrema_reticulatum
R8_1-3 y 2-3,R8,baja_media,1.8,3.8,3,2136.405,0.000936152,0.000561691,0.000374461,2,1.2,Usnea_amblyoclada
R8_1-3 y 2-3,R8,baja_media,1.3,4.8,3.3,2748.985,0.001273197,0.000727541,0.000545656,3.5,2,Parmotrema_reticulatum
R9_1-1,R9,baja_media,0.2,0.4,0.3,647.68,0.000308794,0.000154397,0.000154397,0.2,0.1,Usnea_amblyoclada
R9_1-2,R9,baja_media,1,3.3,2.1,3316.928,0.000693413,0.000331632,0.000361781,2.3,1.1,Parmotrema_reticulatum
R9_1-3,R9,baja_media,2.7,6.7,4.9,1772.163,0.002257129,0.001241421,0.001015708,4,2.2,Parmotrema_reticulatum
R9_2-1,R9,baja_media,2,5.5,4,4241.721,0.000825137,0.000471507,0.00035363,3.5,2,Parmotrema_reticulatum
R9_2-2,R9,baja_media,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usnea_amblyoclada
R32_2-2,R32,media_alta,0.8,3.1,1.6,3245.856,0.000708596,0.000246468,0.000462128,2.3,0.8,Parmotrema_reticulatum
R33_2-3,R33,media_alta,0.1,0.3,0.2,323.726,0.000617806,0.000308903,0.000308903,0.2,0.1,Usnea_amblyoclada
R34_2-3,R34,media_alta,2.2,6.6,4.1,5414.542,0.000812626,0.000350907,0.00046172,4.4,1.9,Parmotrema_reticulatum
R34_1-1,R34,media_alta,1.8,6.8,3.7,4499.083,0.001111338,0.000422308,0.000689029,5,1.9,Parmotrema_reticulatum
R34_2-1,R34,media_alta,0.8,2.8,1.6,2721.098,0.000734997,0.000293999,0.000440998,2,0.8,Parmotrema_reticulatum
R34_2-2,R34,media_alta,1.8,4.2,3,2930.216,0.000819052,0.000409526,0.000409526,2.4,1.2,Usnea_amblyoclada
R3_2-1,R3,control_baja,0.8,3.1,1.7,1962.902,0.001171735,0.000458505,0.00071323,2.3,0.9,Parmotrema_reticulatum
R4_1-1,R4,control_baja,1.3,4,2.5,2956.119,0.00091336,0.000405938,0.000507422,2.7,1.2,Parmotrema_reticulatum
R4_1-2,R4,control_baja,0.7,1.7,1.2,1699.986,0.00058824,0.00029412,0.00029412,1,0.5,Usnea_amblyoclada
