roca,posicion,tcontacto,tinicio,tabs,spp,tmt,tabsparc,tabstot,tini,status_final,status_initial
R1,1_1,6,7,8,P.reticulatum,control_baja,1,2,1,1,0
R1,1_1,11,12,20,P.reticulatum,control_baja,8,9,8,1,1
R1,1_1,15,18,135,P.reticulatum,control_baja,90,90,90,1,0
R1,1_1,22,23,23,P.reticulatum,control_baja,0,1,0,1,1
R1,1_1,25,27,31,P.reticulatum,control_baja,4,6,4,1,1
R1,1_1,29,30,31,P.reticulatum,control_baja,1,2,1,1,1
R1,1_1,32,33,34,P.reticulatum,control_baja,1,2,1,1,1
R1,1_1,36,39,44,P.reticulatum,control_baja,5,8,5,1,1
R1,1_1,40,40,41,P.reticulatum,control_baja,1,1,1,1,1
R1,1_1,43,49,84,P.reticulatum,control_baja,35,41,35,1,1
R1,1_1,48,50,53,P.reticulatum,control_baja,3,5,3,1,1
R1,1_1,54,57,68,P.reticulatum,control_baja,11,14,11,1,1
R1,1_1,58,65,69,P.reticulatum,control_baja,4,11,4,1,1
R1,1_1,62,39,95,P.reticulatum,control_baja,56,33,56,1,1
R1,1_1,65,84,90,P.reticulatum,control_baja,6,25,6,1,1
R1,1_1,73,74,116,P.reticulatum,control_baja,42,43,42,1,1
R1,1_1,76,78,82,P.reticulatum,control_baja,4,6,4,1,1
R1,1_1,80,81,152,P.reticulatum,control_baja,71,72,71,1,1
R1,1_1,83,84,90,P.reticulatum,control_baja,6,7,6,1,1
R1,1_1,87,87,89,P.reticulatum,control_baja,2,2,2,1,1
R1,1_1,90,90,90,P.reticulatum,control_baja,90,90,90,0,0
R1,1_1,93,95,135,P.reticulatum,control_baja,40,42,40,1,1
R1,1_1,101,103,143,P.reticulatum,control_baja,40,42,40,1,1
R1,1_1,109,90,90,P.reticulatum,control_baja,90,90,90,0,0
R1,1_1,113,119,132,P.reticulatum,control_baja,13,19,13,1,1
R1,1_2,7,9,19,U.amblyoclada,control_baja,10,12,10,1,1
R1,1_2,11,12,19,U.amblyoclada,control_baja,7,8,7,1,1
R1,1_2,16,18,33,U.amblyoclada,control_baja,15,17,15,1,1
R1,1_2,19,21,38,U.amblyoclada,control_baja,17,19,17,1,1
R1,1_2,23,25,31,U.amblyoclada,control_baja,6,8,6,1,1
R1,1_2,26,27,40,U.amblyoclada,control_baja,13,14,13,1,1
R1,1_2,30,32,56,U.amblyoclada,control_baja,24,26,24,1,1
R1,1_2,33,36,57,U.amblyoclada,control_baja,21,24,21,1,1
R1,1_2,38,42,76,U.amblyoclada,control_baja,34,38,34,1,1
R1,1_2,48,50,60,U.amblyoclada,control_baja,10,12,10,1,1
R1,1_2,52,55,81,U.amblyoclada,control_baja,26,29,26,1,1
R1,1_2,58,61,89,U.amblyoclada,control_baja,28,31,28,1,1
R1,1_2,62,74,141,U.amblyoclada,control_baja,67,79,67,1,1
R1,1_2,66,69,78,U.amblyoclada,control_baja,9,12,9,1,1
R1,1_2,72,75,90,U.amblyoclada,control_baja,15,18,15,1,1
R1,1_2,80,83,106,U.amblyoclada,control_baja,23,26,23,1,1
R1,1_2,88,91,108,U.amblyoclada,control_baja,17,20,17,1,1
R1,1_2,92,94,106,U.amblyoclada,control_baja,12,14,12,1,1
R1,1_2,99,101,108,U.amblyoclada,control_baja,7,9,7,1,1
R1,1_2,103,105,125,U.amblyoclada,control_baja,20,22,20,1,1
R1,1_2,122,124,129,U.amblyoclada,control_baja,5,7,5,1,1
R1,1_3,6,7,12,P.reticulatum,control_baja,5,6,5,1,1
R1,1_3,10,11,15,P.reticulatum,control_baja,4,5,4,1,1
R1,1_3,14,15,22,P.reticulatum,control_baja,7,8,7,1,1
R1,1_3,18,19,24,P.reticulatum,control_baja,5,6,5,1,1
R1,1_3,21,48,90,P.reticulatum,control_baja,42,69,42,1,1
R1,1_3,32,34,39,P.reticulatum,control_baja,5,7,5,1,1
R1,1_3,35,36,38,P.reticulatum,control_baja,2,3,2,1,1
R1,1_3,40,41,48,P.reticulatum,control_baja,7,8,7,1,1
R1,1_3,43,44,46,P.reticulatum,control_baja,2,3,2,1,1
R1,1_3,46,48,73,P.reticulatum,control_baja,25,27,25,1,1
R1,1_3,49,51,68,P.reticulatum,control_baja,17,19,17,1,1
R1,1_3,53,65,87,P.reticulatum,control_baja,22,34,22,1,1
R1,1_3,58,58,63,P.reticulatum,control_baja,5,5,5,1,1
R1,1_3,60,64,81,P.reticulatum,control_baja,17,21,17,1,1
R1,1_3,63,66,69,P.reticulatum,control_baja,3,6,3,1,1
R1,1_3,70,77,90,P.reticulatum,control_baja,13,20,13,1,1
R1,1_3,73,75,79,P.reticulatum,control_baja,4,6,4,1,1
R1,1_3,78,80,119,P.reticulatum,control_baja,39,41,39,1,1
R1,1_3,81,83,90,P.reticulatum,control_baja,90,90,90,0,0
R1,2_1,6,6,16,U.amblyoclada,control_baja,10,10,10,1,1
R1,2_1,11,12,24,U.amblyoclada,control_baja,12,13,12,1,1
R1,2_1,19,19,25,U.amblyoclada,control_baja,6,6,6,1,1
R1,2_1,23,24,30,U.amblyoclada,control_baja,6,7,6,1,1
R1,2_1,29,29,39,U.amblyoclada,control_baja,10,10,10,1,1
R1,2_1,37,40,78,U.amblyoclada,control_baja,38,41,38,1,1
R1,2_1,41,42,56,U.amblyoclada,control_baja,14,15,14,1,1
R1,2_1,45,45,51,U.amblyoclada,control_baja,6,6,6,1,1
R1,2_1,49,50,64,U.amblyoclada,control_baja,14,15,14,1,1
R1,2_1,52,55,72,U.amblyoclada,control_baja,17,20,17,1,1
