nro,or_R,pend,E,W,spp_lichens,freq,grid,status,zone,obs,mft
R7,180,80,0,43,lichen_cov,95,G1,NA,burned,foliose_burned,NA
R7,180,80,0,43,lichen_cov,95,G2,NA,burned,foliose_burned,NA
R7,180,80,0,43,lichen_cov,90,G3,NA,burned,foliose_burned,NA
R7,180,80,0,43,lichen_cov,90,G4,NA,burned,foliose_burned,NA
R7,180,80,0,43,lichen_cov,90,G5,NA,burned,foliose_burned,NA
R7,180,80,0,43,rock_cov,5,G1,NA,burned,foliose_burned,NA
R7,180,80,0,43,rock_cov,5,G2,NA,burned,foliose_burned,NA
R7,180,80,0,43,rock_cov,10,G3,NA,burned,foliose_burned,NA
R7,180,80,0,43,rock_cov,10,G4,NA,burned,foliose_burned,NA
R7,180,80,0,43,rock_cov,10,G5,NA,burned,foliose_burned,NA
R7,180,80,0,43,moss_cov,0,G1,zero,burned,,NA
R7,180,80,0,43,moss_cov,0,G2,zero,burned,,NA
R7,180,80,0,43,moss_cov,0,G3,zero,burned,,NA
R7,180,80,0,43,moss_cov,0,G4,zero,burned,,NA
R7,180,80,0,43,moss_cov,0,G5,zero,burned,,NA
R7,180,80,0,43,Parm_ret,9,G1,damaged,burned,,foliose
R7,180,80,0,43,Parm_ret,16,G2,damaged,burned,,foliose
R7,180,80,0,43,Parm_ret,4,G3,damaged,burned,,foliose
R7,180,80,0,43,Parm_ret,3,G4,damaged,burned,,foliose
R7,180,80,0,43,Parm_ret,16,G5,damaged,burned,,foliose
R7,180,80,0,43,Umb_pol,2,G1,damaged,burned,,foliose
R7,180,80,0,43,Umb_pol,3,G2,damaged,burned,,foliose
R7,180,80,0,43,Umb_pol,2,G3,damaged,burned,,foliose
R7,180,80,0,43,Umb_pol,2,G4,damaged,burned,,foliose
R7,180,80,0,43,Umb_pol,0,G5,zero,burned,,foliose
R7,180,80,0,43,Punc_sp,2,G1,damaged,burned,,foliose
R7,180,80,0,43,Punc_sp,0,G2,zero,burned,,foliose
R7,180,80,0,43,Punc_sp,0,G3,zero,burned,,foliose
R7,180,80,0,43,Punc_sp,0,G4,zero,burned,,foliose
R7,180,80,0,43,Punc_sp,0,G5,zero,burned,,foliose
R7,180,80,0,43,Haem_fenz,8,G1,damaged,burned,,crustose
R7,180,80,0,43,Haem_fenz,4,G2,damaged,burned,,crustose
R7,180,80,0,43,Haem_fenz,0,G3,zero,burned,,crustose
R7,180,80,0,43,Haem_fenz,0,G4,zero,burned,,crustose
R7,180,80,0,43,Haem_fenz,0,G5,zero,burned,,crustose
R7,180,80,0,43,Pert_cor,12,G1,damaged,burned,,crustose
R7,180,80,0,43,Pert_cor,15,G2,damaged,burned,,crustose
R7,180,80,0,43,Pert_cor,9,G3,damaged,burned,,crustose
R7,180,80,0,43,Pert_cor,3,G4,damaged,burned,,crustose
R7,180,80,0,43,Pert_cor,8,G5,damaged,burned,,crustose
R7,180,80,0,43,Leca_lab,4,G1,damaged,burned,,crustose
R7,180,80,0,43,Leca_lab,0,G2,zero,burned,,crustose
R7,180,80,0,43,Leca_lab,0,G3,zero,burned,,crustose
R7,180,80,0,43,Leca_lab,0,G4,zero,burned,,crustose
R7,180,80,0,43,Leca_lab,2,G5,damaged,burned,,crustose
