Nro_roca;ud_muestral;piso;grad;spp_liquenes;genus;morfotipo;fr1;fr2;fr3;fr4;fr5;fr_prom;or_roca;ORNS_roca;or_R;exp;sup;pend;pend_c;tipo_roca;or_ladera;ORNS_lad;or_L;paj;roc;arb;so;mg;rast;ces;alt;obs
1;T1-2100R1;2100;champa;Usnea_amblyoclada;Usnea;fr;17;4;13;3;6;8.6;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Usnea_saxidilatata;Usnea;fr;4;10;4;13;10;8.2;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Pertusiaria_coriaceae;Pertusaria;cr;3;2;3;1;0;1.8;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Hypotrachyna_leiophylla;Hypotrachyna;fl;2;5;12;13;8;8;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Caloplaca_cinnabarina;Caloplaca;cr;6;4;1;2;6;3.8;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Lecanora_dispersa;Lecanora;cr;0;2;0;5;0;1.4;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Pertusaria_sp2;Pertusaria;cr;7;4;2;0;5;3.6;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;esteril/sorediada
1;T1-2100R1;2100;champa;Tephromela_atra;Tephromela;cr;2;1;0;0;0;0.6;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;lichen_cover;Liquen;Liquen;70;70;90;80;50;72;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Cob_roca;Roca;roca;30;30;10;19;50;27.8;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Rhizocarpon_sp;Rhizocarpon;cr;0;4;0;4;0;1.6;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Usnea_cornuta;Usnea;fr;0;0;6;1;0;1.4;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Lepraria_sp1;Lepraria;cr;0;0;1;1;0;0.4;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;Lepraria_verde
1;T1-2100R1;2100;champa;Musgos;Musgo;musgo;0;0;0;1;0;0.2;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Xanthoparmelia_microspora;Xanthoparmelia;fl;0;0;0;2;0;0.4;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Umbilicaria_polyrrhiza;Umbilicaria;fl;0;0;0;0;5;1;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Punctelia_stictica;Punctelia;fl;0;0;0;0;6;1.2;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
1;T1-2100R1;2100;champa;Usnea_luti;Usnea;fr;0;2;4;0;2;1.6;190;-0.984807753;South;170;35.278;80;High_inclination;granito;180;-1;South;5;80;20;1;3;0;0;2069;
2;T1-2100R2;2100;champa;Punctelia_stictica;Punctelia;fl;21;12;1;12;19;13;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Psiloparmelia_distincta;Psiloparmelia;fl;23;13;11;11;21;15.8;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Umbilicaria_polyrrhiza;Umbilicaria;fl;12;19;4;13;11;11.8;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Usnea_amblyoclada;Usnea;fr;12;8;1;2;7;6;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Caloplaca_cinnabarina;Caloplaca;cr;3;5;13;7;3;6.2;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Buellia_obscuratum;Buellia;cr;3;4;22;7;6;8.4;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Lecanora_dispersa;Lecanora;cr;0;2;2;0;0;0.8;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;lichen_cover;Liquen;Liquen;80;80;70;90;70;78;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Cob_roca;Roca;roca;20;20;30;10;30;22;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
2;T1-2100R2;2100;champa;Acarospora_altoandina;Acarospora;cr;0;0;1;0;0;0.2;20;0.939692621;North;140;88.8;70;High_inclination;granito;350;0.984807753;North;10;75;5;5;0;5;0;2056;
