muestra;grad;or_R;pend_c;tipo_roca;or_L;exp;sup;pend;piso;ORNS_L;ORNS_R;paj;roc;arb;so;mg;rast;ces;alt;Lichen_cover;Moss_cover;Rock_cover;A_altoandina;A_lorentzii;Acarospora_sp1;Acarospora_sp2;B_aethalea;B_aff_aethalea;B_concinna;B_dispersa;B_sulphurea;B_tellulata;B_tesserata;B_umbrina;Buellia_sp1;C_carneopruinata;C_chlorina;C_cinnabarina;C_sideritis;C_esteril;C_fimbriata;C_melanopoda;C_pyxidata;C_symphocarpa;Cladonia_sp;C_vitellina;Catillaria_sl;D_bisporus;D_diacapsis;D_muscorum;D_scruposus;D_oreina;D_pavonii;Dictyonema_sp;F_caperata;F_haysomii;F_papilosa;H_badia;H_breverhiza;H_dentella;H_intercalanda;H_leucomela;H_longiloba;H_revoluta;H_rhabdiformis;Hy_badia;H_fenzlianum;H_obscurata;H_speciosa;L_farinosa;L_granulosula;L_laboriosa;L_rupicola;Lecidea_sp;Lecidea_sp2;Lepraria_amarilla.1;Lepraria_lobulada;Lepraria_sp1;Lepraria_sp2;Leptogium_sp;O_austroamericana;O_parella;P_afrorevoluta;Parmelinopsis_sp;P_bonariensis;P_badia;P_candelarioides;P_colombiana;P_hypoleucites;P_perreticulata;P_punctilla;P_stictica;P_semansiana;P_distincta;P_pustulata;P_dydactila;P_hababianum;P_reticulatum;P_warmingii;P_rupicola;Paraparmelia_sp;P_coriacea;Pertusaria_ap2;Pertusaria_sp2;Pertusaria_sp3;Ph_ lobulata;Ph_dubia;Ph_tribacia;Phaeophyscia_sp;Placidium_sp;Psora_sp;Psora_sp.1;R_celastri;R_pilulifera;R_puiggarii;R_confragosa;R_confragosula;R_disporum;R_geographicum;R_inorense;R_obscuratum;R_propagulosum;Rhizocarpon_gris;Rimoso_blanco;S_ramulosum;T_atra;T_nodulifer;U_africana;U_amblyoclada;U_cornuta;U_diuretzi;U_hieronymi;U_krogiana;U_luti;U_polyrrhiza;U_saxidilatata;U_saxydilatata;X_cordillerana;X_cotopaxiensis;X_farinosa;X_hipopsila;X_microspora;X_microsticta;X_mougeoti;X_nefoscelia_sl;X_parietina;X_plittii;X_punctulata;X_santesonii;X_scabrosa;X_submougeotii;X_subtinctina;X_subulcerosa;X_taractica;X_ulcerosa;X_wrightiana;Xanthoparmelia_sp;Xanthoria_sp
T4_2100R1;linderos;N;vertical;gneiss;S;120;6.4;50;2100;0;-0.342;5;90;0;0;0;5;0;2128;94.6;1;4.4;6.2;6;1;0;8.4;8.4;0;0;0;0;0;0;0;0.8;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2.2;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;13.8;0;0.8;0;0;0;0;0;1.6;0;0;0;0;0;0;0;3.6;0;0;0;0;0;0;0;0;0;0;0;0
T4_1500R1;linderos;plana;plana;gneiss;S;148;7.35;15;1500;0.766;0.766;65;25;0;0;0;5;10;1562;88;1;11;11.4;4.4;1.8;0;3.4;0;0;0;0;0;0;0;0;0;7.2;0;0;6;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;1;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_900R9;gigantes;plana;plana;granito;N;175;12.374;10;900;-0.6428;0.766;10;40;30;10;5;10;0;904;24;4;70;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;0;0;3.8;0;0;0
T2_2100R19;gigantes;plana;plana;granito;N;120;14.31;10;2100;-0.9659;-1;10;40;10;40;20;10;5;2270;54;4;42;2.4;0;0;0;1.8;2.2;0;0;0;0;0;2;0;0;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;7.2;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.8;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_2100R17;gigantes;plana;plana;granito;N;150;76.23;10;2100;-0.9848;-0.6428;10;70;0;10;5;10;0;2280;78.6;0;21.4;0.6;0;0;0;0;15.6;0;0;0;0;0;0;0;0;1.8;0;0;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.2;0;0;6.4;0;14.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_2100R18;gigantes;plana;plana;granito;N;140;45.6494;20;2100;-0.1736;-0.9563;5;80;0;10;10;10;0;2280;83;1;16;2.4;0;0;0;0;5.8;0;0;0;0;0;0;0;0;5;0;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;11.2;0;0;13.4;0;18.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_2100R10;gigantes;plana;plana;granito;S;157;31.16;10;2100;0.9982;0.766;10;40;30;20;10;10;5;2257;62;4;34;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0.4;17;0;0;0;0;0;0.4;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0.8;0.4;0;5.6;0;9.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_2100R11;gigantes;N;media;granito;S;151;24.8;35;2100;0.9397;0.9848;0;95;0;5;1;0;0;2250;84;9.6;16;4;2.6;0;0;1.8;0;0;0;0;0;0;0;0;1.4;0;0;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_2100R3;gigantes;S;media;granito;N;160;29.15;40;2100;-0.9848;-0.9848;5;30;0;10;10;10;60;2290;95.8;2.2;2;3.6;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;13.6;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;6.6;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;3.6;0;0;0;0;4.4;0;0;0;0;0;0;0;1.4;0;0;0;0;0;2.8;0;0;0;1.4;0;0;0;0;0;0;0;0;0;0;0;2;0;8.6;0;6.4;0;0;5.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2_2100R4;gigantes;S;media;granito;N;140;16.8;40;2100;-1;-1;5;30;0;5;10;10;40;2280;96.6;0.6;2.8;7.6;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;7.4;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;1.4;0;0;0;0;0;0;0;0;0;0;0;8.6;0;0;0;0;0;0.6;0;0;0;0;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;6.2;0;4.6;0;0;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
