spp;mft;genus
A_altoandina;Cr;Acarospora
A_lorentzii;Cr;Acarospora
Acarospora_sp1;Cr;Acarospora
Acarospora_sp2;Cr;Acarospora
B_aethalea;Cr;Buellia
B_aff_aethalea;Cr;Buellia
B_concinna;Cr;Buellia
B_dispersa;Cr;Buellia
B_sulphurea;Cr;Buellia
B_tellulata;Cr;Buellia
B_tesserata;Cr;Buellia
B_umbrina;Cr;Buellia
Buellia_sp1;Cr;Buellia
C_carneopruinata;Fl;Canoparmelia
C_chlorina;Cr;Caloplaca
C_cinnabarina;Cr;Caloplaca
C_esteril;Di;Cladonia
C_fimbriata;Di;Cladonia
C_melanopoda;Di;Cladonia
C_pyxidata;Di;Cladonia
C_sideritis;Cr;Cladonia
C_symphocarpa;Di;Cladonia
C_vitellina;Cr;Candelariella
Catillaria_sl;Cr;Catillaria
Cladonia_sp;Di;Cladonia
D_bisporus;Cr;Diploschistes
D_diacapsis;Cr;Diploschistes
D_muscorum;Cr;Diploschistes
D_oreina;Cr;Dimelaena
D_pavonii;Fl;Dictyonema
D_scruposus;Cr;Diploschistes
Dictyonema_sp;Fl;Dictyonema
F_caperata;Fl;Flavoparmelia
F_haysomii;Fl;Flavoparmelia
F_papilosa;Fl;Flavoparmelia
H_badia;Fl;Heterodemia
H_breverhiza;Fl;Heterodemia
H_dentella;Fl;Heterodemia
H_fenzlianum;Cr;Heterodemia
H_intercalanda;Fl;Heterodemia
H_leucomela;Fl;Heterodemia
H_longiloba;Fl;Heterodemia
H_obscurata;Fl;Heterodemia
H_revoluta;Fl;Heterodemia
H_rhabdiformis;Fl;Heterodemia
H_speciosa;Fl;Heterodemia
Hy_badia;Fl;Hypotrachyna
L_farinosa;Cr;Lecanora
L_granulosula;Cr;Lecanora
L_laboriosa;Cr;Lecanora
L_rupicola;Cr;Lecanora
Lecidea_sp;Cr;Lecidea
Lecidea_sp2;Cr;Lecidea
Lepraria_amarilla.1;Cr;Lepraria
Lepraria_lobulada;Cr;Lepraria
Lepraria_sp1;Cr;Lepraria
Lepraria_sp2;Cr;Lepraria
Leptogium_sp;Fl;Leptogium
O_austroamericana;Cr;Ochrolechia
O_parella;Cr;Ochrolechia
P_afrorevoluta;Fl;Parmotrema
P_badia;Cr;Protoparmelia
P_bonariensis;Fl;Parmotrema
P_candelarioides;Fl;Placomaronea
P_colombiana;Fl;Punctelia
P_coriacea;Cr;Pertusaria
P_distincta;Fl;Psiloparmelia
P_dydactila;Fl;Peltigera
P_hababianum;Fl;Parmotrema
P_hypoleucites;Fl;Punctelia
P_perreticulata;Fl;Punctelia
P_punctilla;Fl;Punctelia
P_pustulata;Fl;Punctelia
P_reticulatum;Fl;Parmotrema
P_rupicola;Fl;Paraparmelia
P_semansiana;Fl;Punctelia
P_stictica;Fl;Punctelia
P_warmingii;Fl;Parmotrema
Paraparmelia_sp;Fl;Paraparmelia
Parmelinopsis_sp;Fl;Parmelinopsis
Pertusaria_ap;Cr;Pertusaria
Pertusaria_sp2;Cr;Pertusaria
Pertusaria_sp3;Cr;Pertusaria
Ph_ lobulata;Fl;Physcia
Ph_dubia;Fl;Physcia
Ph_tribacia;Fl;Physcia
Phaeophyscia_sp;Fl;Phaeophyscia
Placidium_sp;Fl;Placidium
Psora_sp;Fl;Psora
Psora_sp.1;Fl;Psora
R_celastri;Fr;Ramalina
R_confragosa;Cr;Rinodina
R_confragosula;Cr;Rinodina
R_disporum;Cr;Rhizocarpon
R_geographicum;Cr;Rhizocarpon
R_inorense;Cr;Rhizocarpon
R_obscuratum;Cr;Rhizocarpon
R_pilulifera;Fr;Ramalina
R_propagulosum;Cr;Rhizocarpon
R_puiggarii;Fr;Ramalina
Rhizocarpon_gris;Cr;Rhizocarpon
Rimoso_blanco;Cr;Rimoso
S_ramulosum;Fr;Stereocaulon
T_atra;Cr;Tephromela
T_nodulifer;Fr;Teloschistes
U_africana;Fr;Usnea
U_amblyoclada;Fr;Usnea
U_cornuta;Fr;Usnea
U_diuretzi;Fr;Usnea
U_hieronymi;Fr;Usnea
U_krogiana;Fr;Usnea
U_luti;Fr;Usnea
U_polyrrhiza;Fr;Usnea
U_saxidilatata;Fr;Usnea
U_saxydilatata;Fr;Usnea
X_cordillerana;Fl;Xanthoparmelia
X_cotopaxiensis;Fl;Xanthoparmelia
X_farinosa;Fl;Xanthoparmelia
X_hipopsila;Fl;Xanthoparmelia
X_microspora;Fl;Xanthoparmelia
X_microsticta;Fl;Xanthoparmelia
X_mougeoti;Fl;Xanthoparmelia
X_nefoscelia_sl;Fl;Xanthoparmelia
X_parietina;Fl;Xanthoparmelia
X_plittii;Fl;Xanthoparmelia
X_punctulata;Fl;Xanthoparmelia
X_santesonii;Fl;Xanthoparmelia
X_scabrosa;Fl;Xanthoparmelia
X_submougeotii;Fl;Xanthoparmelia
X_subtinctina;Fl;Xanthoparmelia
X_subulcerosa;Fl;Xanthoparmelia
X_taractica;Fl;Xanthoparmelia
X_ulcerosa;Fl;Xanthoparmelia
X_wrightiana;Fl;Xanthoparmelia
Xanthoparmelia_sp;Fl;Xanthoparmelia
Xanthoria_sp;Fl;Xanthoria
