puntos,foliose,fructicose,crustose,escuamulose,dimorphic,green_algae,ciabobacteria,both,apothecia,perithecia,soredia,isidia,uv_protection,Microbiological_protec,herbivory_protec,Foresp1,Foresp2,Foresp3,cilia,uv_protection,alellopathic,herbivory_protection,lad,pend,Slope,Slope_mrp,Orientation,Elevation,ORNS_lad,ORWE_lad,ORNS_aspect,ORWE_aspect
Ch 17,5.00,1.00,8.00,1,1,16,0,0,9.00,0.00,7.00,2.00,6.00,10.00,1.00,6,2,0,2,6,10,1,1,85,1,3,0,0,1,0,0,-1
Ch 18,8.00,1.00,6.00,0,1,15,0,1,8.00,0.00,8.00,3.00,6.00,11.00,0.00,5,2,1,3,6,11,0,1,85,1,3,0.70710678,0,1,0,1,1
Ch 19A,3.00,1.00,5.00,1,0,17,0,0,6.00,0.00,2.00,1.00,4.00,5.00,0.00,9,1,0,4,4,10,2,1,5,0,3,-0.27563736,0,1,0,-1,-1
Ch 19B,5.00,3.00,8.00,0,0,9,0,0,10.00,0.00,6.00,3.00,4.00,10.00,2.00,5,1,0,2,4,5,0,1,90,1,1,-0.70710678,0,1,0,0,1
Ch 7A,3.00,1.00,4.00,0,0,8,0,0,6.00,0.00,1.00,2.00,4.00,4.00,0.00,3,2,1,1,4,4,0,5,0,0,1,0.8480481,0,-1,0,1,1
Ch 7B,5.00,1.00,9.00,0,0,15,0,0,10.00,0.00,6.00,1.00,5.00,7.00,0.00,7,2,1,2,5,7,0,5,0,0,1,-0.70710678,0,-1,0,-1,-1
Ch 6A,4.00,2.00,8.00,2,1,16,0,0,10.00,0.00,7.00,2.00,4.00,10.00,2.00,7,2,0,1,4,10,2,5,45,0,2,-0.70710678,0,-1,0,-1,1
Ch 6B,3.00,1.00,6.00,0,0,10,0,0,4.00,0.00,3.00,4.00,4.00,6.00,0.00,2,2,1,1,4,6,0,5,90,1,3,0,0,-1,0,0,1
Ch 16,13.00,1.00,8.00,2,0,23,0,0,9.00,0.00,11.00,6.00,5.00,17.00,2.00,7,4,0,5,5,17,2,5,85,1,3,0,0,-1,0,0,-1
Ch 5A,5.00,1.00,5.00,0,0,11,0,0,6.00,0.00,3.00,3.00,5.00,7.00,0.00,4,3,0,1,5,7,0,2,0,0,1,-0.15643447,0,1,1,0,-1
Ch 5B,3.00,1.00,5.00,1,0,10,0,0,7.00,0.00,5.00,0.00,3.00,7.00,1.00,4,2,0,1,3,7,1,2,45,0,2,-0.70710678,0,1,1,-1,-1
Ch 5C,4.00,2.00,8.00,0,0,13,0,1,9.00,0.00,5.00,4.00,5.00,8.00,0.00,5,3,2,2,5,8,0,2,45,0,2,0.70710678,0,1,1,1,1
Ch 24,5.00,0.00,4.00,0,0,9,0,0,5.00,0.00,0.00,4.00,6.00,4.00,0.00,5,1,0,0,6,4,0,7,35,0,2,0.97029573,0,-1,-1,1,0
Ch 14A,3.00,1.00,5.00,0,0,13,0,0,6.00,0.00,3.00,1.00,5.00,5.00,1.00,7,3,0,1,4,8,0,1,20,0,3,-0.93358043,0,1,0,0,-1
Ch 14B,4.00,1.00,8.00,0,0,13,0,0,8.00,0.00,3.00,2.00,4.00,8.00,0.00,5,2,0,2,6,8,1,1,85,1,3,0,0,1,0,-10000,0
Ch 14C,5.00,1.00,7.00,0,0,9,0,0,10.00,0.00,4.00,0.00,6.00,8.00,1.00,2,3,0,1,5,5,1,1,89,1,1,-1,0,1,0,-1,0
Ch 15A,6.00,1.00,9.00,0,0,16,0,0,12.00,0.00,4.00,1.00,7.00,10.00,1.00,7,3,0,1,9,11,1,1,35,0,3,0,0,1,0,1,-1
Ch 15B,6.00,1.00,9.00,0,0,16,0,0,12.00,0.00,3.00,2.00,9.00,11.00,1.00,7,2,1,1,7,10,1,1,85,1,2,0.70710678,0,1,0,0,1
Ch 13A,3.00,1.00,5.00,0,0,9,0,0,6.00,0.00,2.00,2.00,5.00,5.00,1.00,2,3,0,1,5,5,1,1,0,0,1,-0.99862953,0,1,0,-1,0
