site;A_chry;A_sp_1;A_sp_2;A_alt;A_bol;A_lor;B_sp_2;B_sp_1;B_sp_3;B_sp_4;B_sp_5;C_ama;C_sax;C_isi;C_nar;C_roj;C_sp;Can_v;Cat;Cand;Clad;Dim;D_bis;D_scr;Dyct;F_cap;F_hay;F_pap;H_jap;H_leu;H_squ;Hyp_l;Hyp_r;Leca;L_neg;L_pol;L_sp_2;L_sp_3;L_sp_1;L_verd;Leci;Lepr;Lept;M_verr;Neo_i;Norm;O_par;Para_r;P_chin;P_crin;P_pilo;P_reti;P_tan;P_sp_2;P_sp_1;Phae;Pann;Phy;Psilo;P_colo;P_hyp;P_mic;P_perr;P_pun;P_sem;P_stic;P_sub;R_dec;R_pil;R_cum;R_ino;R_geo;Rino;S_reg;Schae;Stere;T_nod;Umb_II;Umb_p;U_amb;U_col;U_cor;U_dur;U_hie;U_kro;U_lut;U_sax;X_cor;X_coto;X_far;X_hypo;X_micro;X_mou;X_pli;X_punc;X_sub;X_subt;X_tar;X_wr
Ch_17;0;26.666.667;0;0;0;36.666.667;0;18;0;0;0;0;0;0;0.66666669;0;0;0;13.333.334;0;0.33333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.333.333;0;0;0;23.333.333;0;0;0;0;0;47.333.332;0;0;2;0;0;0;0;0;0;0;0;23.333.333;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;35.333.332;0;0;0;0;0;0;0;0;0;56.666.665;0;0;0;56.666.665;0;0;0;43.333.335;0
Ch_18;0;0;0.33333334;0;0;0;0;9.666.667;0;0;0;0;0;16.666.666;0;0;0;0;0;0;26.666.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.333.333;0.33333334;0;0;0;0;0;44;0;0;0;73.333.335;26.666.667;0;0;0;0;0;0;0;0;16.666.666;0;0;7;0;0;0;0;0;0;53.333.335;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;0;9.333.333;0;0;0;5;0
Ch_19A;0;0;0;5;0;0;0;13.666.667;0;0;0;0;0;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;26.666.667;0;0;0;26.666.667;16.333.334;0;20.666.666;2;53.333.335;0;0;0;0;0;0;0;0;16.666.666;0;0;0;2;33.333.333;0;0;0;2;0;0;0;0;0;0;44.333.332;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Ch_19B;0;23.333.333;0;1;0;0;0;26.333.334;0;0;0;0;0;0;12;0;0;0;12.666.667;0;0;0;0;0;0;0;73.333.335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0.66666669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.666.665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ch_7A;0;0;0;0;0;0;0;15.666.667;0;0;0;0;0;0;17.333.334;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.333.334;0;0;0;0;0;13.333.334;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;46.666.665;0;0
Ch_7B;0;0;0.66666669;0;0;0;0;23.333.333;0;0;0;0;0;16.333.334;0;0;0.33333334;10.666.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.666.665;0;0;0;0;0;26.666.667;0;0;1;0;0;0;0;0;0;0;0;0;0;23.666.666;66.666.665;16.666.666;0;0;0;0;0;0;0;21.666.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;26.666.666;0;0;0;0;0;0;0;0;0;0.66666669;0;0;0;0;0;0;0;0;0
Ch_6A;0;0;0;0;0;16.666.666;0;73.333.335;0;0;0;0;0;21;0;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;13.333.334;0;0;0;0;0.66666669;0;0;0;13.333.334;0;0;0;0;0;0;0;11;10.333.333;0;0.33333334;0;0;0;0;0;9.666.667;0;0;0;0;0;3;0;0;0;23.333.333;0;0;0;0;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ch_6B;0;0;3;0;0;0;0;9.666.667;0;0;0;0;0;4;0;0;0;13;0;0;0;0;0;0;0;0;16.666.666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.66666669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.333.334;0;0;0;0;0;0;0;0;16.333.334;0;0;0;0;0;0;16.666.666;0;0;0;0;0;0;0;0;0;0;0;0;0;16.666.666;0;0;0;0;0
Ch_16;2;0;0;0;0;36.666.667;0;0;19;0;0;0;0;15.666.667;0;0;0;0;0;0;0;0;0;0;0;0;6;23.333.333;1;0;1;0;23.333.333;0;0;0;0;0;0;0;0;16.333.334;0;0;0;1;0;0;13.333.334;0;0;13.333.334;0;2;3;0;13.333.334;0;0;0;36.666.667;0;0;5;0;9.333.333;0;0;0;0;0;0;29.333.334;0;0;0;0;0;2;66.666.665;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
Ch_5A;0;0;0;43.333.335;0;0;0;10.333.333;0;0;0;13.666.667;0;0;52.333.332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33333334;0.33333334;0;0;0;0;0;0;0;55.333.332;0;0;0;0;46.666.665;0;23;0;0;0;0;0;0;0;9;0;0;0;16.666.666;0;0;0;0;0;0;0
Ch_5B;0;0;0;0;0;0;0;1;0;0;0;0;0;0;36.666.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.333.333;0;0;0;13.333.334;0;0;0;0;0;0;0;0;16.666.666;0;0;0;0;0;0;0;37.666.668;0;0;0;0;0;0;0;0;0.33333334;0;0;0;0;0;0;0;0;0;9.333.333;0;0;0;0;0;0.66666669;22.333.334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ch_5C;0;0;26.666.667;0;0;0;0;0;0;10;0;0;0;44;0;0;0;53.333.335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;66.666.665;0;0;0;0;0;0;0;0;0;0;13.333.334;0;0;0;0;0;0;0;0;0;46.666.665;0;0;0;0;0;0;0;0;13.333.333;0;0;0;0;0;36.666.667;13.333.334;0;0;0;0;0;0;0.66666669;0;0;0;0;0;11.333.333;0;0;0;0;0;0
