site;foliose;fructicose;crustose;escuamulose;dimorphic;ambas;apothecia;soredia;isidia;herb;cilia;uv;micro;elev;orns;slope;elev_c;pend_c
Ch_17;0.480402971;0.259798515;0.240238253;0.017133613;0.002426649;0;0.250018384;0.710714023;0.058827855;0.017133613;0.607838812;0.399588205;0.909331568;922;0;85;1;2
Ch_18;0.701179914;0.082319583;0.192079027;0;0.024421476;0.003018385;0.304856855;0.643373274;0.103631208;0;0.551815604;0.271380225;0.942101893;934;0.70710678;85;1;2
Ch_19A;0.235689655;0.428103448;0.313189655;0.023017241;0;0;0.373534483;0.586206897;0.071896552;0.051724138;0.568965517;0.462586207;0.830517241;938;-0.70710678;90;1;2
Ch_19B;0.39;0.0667;0.5433;0;0;0;0.8533;0.0734;0.0733;0;0.3767;0.2833;0.72;938;-0.27563736;5;1;1
Ch_7A;0.233223789;0.063606488;0.703169723;0;0;0;0.766776211;0.063606488;0.219124351;0;0.063606488;0.466447578;0.51235026;1366;0.8480481;0;1;1
Ch_7B;0.404012315;0.264872381;0.331115304;0;0;0;0.534809812;0.430529348;0.162180951;0;0.499950343;0.503227729;0.692025027;1366;-0.70710678;0;1;1
Ch_6A;0.156024964;0.264042247;0.560009602;0.019923188;0.003960634;0;0.375900144;0.528084494;0.25600096;0.051968315;0.228036486;0.648103697;0.539966395;1367;-0.70710678;45;1;1
Ch_6B;0.437972329;0.019416347;0.542611324;0;0;0;0.488315312;0.251947448;0.484478549;0;0.019416347;0.279153587;0.759679107;1367;0;90;1;2
Ch_16;0.301797339;0.047197849;0.643928673;0.016487404;0;0;0.47410133;0.370223606;0.221695443;0.021228418;0.080172658;0.257146901;0.71695443;1369;0;85;1;2
Ch_5A;0.096391349;0.138562564;0.765046087;0;0;0;0.767034159;0.150611483;0.138562564;0;0.138562564;0.600457859;0.522079643;1376;-0.15643447;0;1;1
Ch_5B;0.108073671;0.258658635;0.613923318;0.019344376;0;0;0.718174447;0.814664659;0;0.019344376;0.258658635;0.737518823;0.501795436;1376;-0.70710678;45;1;1
Ch_5C;0.246168224;0.018691589;0.735140187;0;0;0.062336449;0.420560748;0.180654206;0.523457944;0;0.018691589;0.548224299;0.355140187;1376;0.70710678;45;1;1
Ch_24;0.211034592;0;0.788965408;0;0;0;0.820628513;0;0.184675057;0;0;0.253304837;0.258529249;1473;0.97029573;35;1;1
Ch_14A;0.338352225;0.024417752;0.637230023;0;0;0;0.646647493;0.202954943;0.13534089;0;0.024417752;0.195454802;0.778210117;1548;0;85;1;2
Ch_14B;0.143544104;0.078949257;0.777506639;0;0;0;0.885164717;0.143544104;0;0.002368478;0.107658078;0.220053111;0.901959377;1548;-1;89;1;2
