abbr;species;foliose;fruticose;crustose;escuamulose;dimorfic;green_algae;cianobacteria;both;apothecia;lirella;perithecia;soredia;isidia;big;mid;small;simple;septate;pluriseptate;cilia;absent_cilia;uv;micro;herb;obs
A_chry;Acaropsora_cf._chrysops;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0
A_alt;Acarospora_altoandina;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
A_bol;Acarospora_boliviana;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;ác_izocárpico__trazas_de_epanorina_y_ác_conrhizocárpico
A_lor;Acarospora_lorentzii;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;"ác_nórtico__ác_nórtico__ác_hiposalazínico_-_Norstictic_acid
"
A_sp_1;Acarospora_sp._1_(amarilla);0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;ac_rizocarpico
A_sp_2;Acarospora_sp._2_(marron);0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
B_sp_3;Buellia_aethalea;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;ácidos_norstíctico_y_connorstíctico_(Norstictic_acid)
B_sp_4;Buellia_aff._dispersa;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;atranorina
B_sp_1;Buellia_dispersa;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;atranorina__2-O-metilperlatólico_y_ácido_±_confluentico
B_sp_2;Buellia_halonia;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;artothelina__isoartotelina__2_4-dicloronorlichexantona__2_5-dicloronorlichexantona__2_7-dicloronorlichexantona__4_5-dicloronorlichexantona__4_5-dicloronorlichexantona__4_5-dicloronorlichexantona__4_5-dicloronorlichexantona_5_7-dicloronorlichexantona__atranorina__ácidos_tiofánico__tiofanínico_y_norstíctico__y_eumitrina_xy_eumitrina_y_(JA_Elix__HPLC)
B_sp_5;Buellia_venusta;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
C_ama;Caloplaca_amarilla;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;atraquinonas
C_roj;Caloplaca_roja;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
C_nar;Caloplaca_cinnabarina;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
C_isi;Caloplaca_littorea;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
C_sax;Caloplaca_saxicola;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
C_sp;Caloplaca_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Can_v;Candelariella_vitellina;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Cat;Catinaria_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clad;Cladonia_fimbriata;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;fumarprotocetrarico_ácido
Dyct;Dictyonema_pavonia;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dim;Dimelaena_oreina;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;"ácido_úsnico__ácido_fumarprotocetrárico_(quimiotipo_I)__ácido_úsnico__ácido_girofórico_(quimiotipo_II)__ácido_úsnico_(quimiotipo_III)__ácido_úsnico__ácido_girofórico__ácido_fumarprotocetrárico_(quimiotipo_IV)__ácido_úsnico__ácido_stictico_(_quimiotipo_V)__ácido_úsnico__esferoforina_(VI)__ácido_úsnico__ácido_girofórico__ácido_stictico_(quimiotipo_VII);_compuestos_principales_a_menudo_acompañados_de_ácido_norstictico__ácido_lecanórico_y_ácido_ovoico_como_compuestos_menores."
D_bis;Diploschistes_bisporus;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
D_scr;Diploschistes_scruposus;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;ácido_diplosquistésico_(principal_o_ausente)__ácido_lecanórico_(principal)_y_ácido_orselínico_(menor)
F_cap;Flavoparmelia_caperata;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0
F_hay;Flavoparmelia_haysomii;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
F_pap;Flavoparmelia_papillosa;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
H_jap;Heterodermia_japonica;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;"corteza_con_atranorina_y_cloroatranorina;_médula_con_atranorina__zeorina__±_ácido_norstictico__±_ácido_salazínico_y_terpenos_no_identificados"
H_leu;Heterodermia_leucomela;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
H_sp;Heterodermia_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H_squ;Heterodermia_squamulosa;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Hyp_l;Hypotrachyna_leiophylla;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Hyp_r;Hypotrachyna_revoluta;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;"corteza_superior_con_atranorina_y_cloroatranorina;_médula_con_ácidos_girofóricos_(principal)__ácido_4__5-di-O-metilhiáscico__ácido_5-O-metilhiáscico_(ambos_menores)__ácidos_lecanórico_y_umbilicárico_(tanto_trazas_como_ausentes)"
L_neg;Tephromela_atra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L_sp_2;Lecanora_aff._Dispersa;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2_7-diclorlichexantona__±pannarina
L_verd;Lecanora_cf._farinacea;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;atranorina_(principal)__cloroatranorina_(menor)__ácido_connorstictico_(menor_o_ausente)__ácido_norstictico_(principal_o_ausente)__ácido_protocetrárico_(principal_o_ausente)_y_ácido_salazínico_(menor_o_ausente)
L_pol;Lecanora_polytropa;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;ácido_rangiformico__ácido_úsnico_y_zeorina
L_sp_3;Lecanora_rupicola;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;contiene_atranorina_(principal)__cloroatranorina_(menor)__eugenitol_(menor)__ácido_roccílico_(principal)__sordidona_(principal)_y_ácido_tiofánico_(subprincipal_o_ausente)
L_sp_1;Lecanora_sp._1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leci;Lecidea_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schae;Lecidea_sp._2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lepr;Lepraria_sp.;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Lept;Leptogium_cyanescens;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
M_verr;Macrospora_verrucosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Musg;Musgos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neo_i;Neofuscelia_imitatrix;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Norm;Normandina_pulchella;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;zeorina
O_par;Ochrolechia_parella;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;ácido_girofórico_|_ácido_variolárico
Pann;Pannaria_canoplea;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;pannarina
Para_r;Paraparmelia_rupicola;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
P_chin;Parmotrema_chinense;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
P_crin;Parmotrema_crinitum;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
P_pilo;Parmotrema_pilosum;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
P_reti;Parmotrema_reticulatum;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0
P_tan;Parmotrema_tandilensis;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
P_sp_1;Pertusaria_sp._1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;Desconocida_(k+_rojo_)
P_sp_2;Pertusaria_sp._2_(sorediada);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phae;Physciella_chloantha;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
Phy;Physcia_tribacia;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
Cand;Placomaronea_candelarioides;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Leca;Protoparmelia_badia;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;ácido_lobárico__+zeorina_y_3(-5)_desconocidos__a_veces_con_ácido_úsnico
Psilo;Psiloparmelia_distincta;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
P_colo;Punctelia_colombiana;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
P_hyp;Punctelia_hypoleucites;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;atranorina_(menor_o_traza)__médula_que_contiene_ácido_lecanórico
P_mic;Punctelia_microsticta;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
P_perr;Punctelia_perreticulata;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
P_pun;Punctelia_punctilla;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
P_sem;Punctelia_semansiana;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
P_sp;Punctelia_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P_stic;Punctelia_stictica;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
P_sub;Punctelia_subpraesignis;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
R_dec;Ramalina_cf._decipiens;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R_pil;Ramalina_cf._pilulifera;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R_cum;Rhizocarpon_cf._cumulatum;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0
R_ino;Rhizocarpon_cf._inorense;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;ac_rizocarpico
R_geo;Rhizocarpon_geographicum;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;ácidos_rizocárpico_y_psorómico__y_rara_vez_ácido_girofórico
R_sp;Rhizocarpon_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rino;Rinodina_oxydata;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;atranorina
S_reg;Sarcogyne_regularis;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Stere;Stereocaulon_ramulosum;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Atranorina_y_ácido_perlatólico
T_nod;Teloschites_nodulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T_atr;Tephromela_atra;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;atranorina__médula_con_ácidos_±?-colatólico_y_alectorónico_(mayor_o_menor)__+ácido_burgués_(trazas)
Umb_II;Umbilicaria_africana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Umb_p;Umbilicaria_polyrrhiza;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;ácido_girofórico
U_amb;Usnea_amblyoclada;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;"corteza_con_ácido_úsnico;_médula_siempre_con_ácidos_norstictico_y_salazínico__y_casi_siempre_con_ácido_galbínico"
U_col;Usnea_columbiana;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;ácido_úsnico_como_norstictico
U_cor;Usnea_cornuta;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;"ácido_salazínico_(principal_)__±_ácido_consalazínico_(menor)__±_ácido_protocetrárico_(menor)__±_ácido_norstictico_(menor)__±_ácidos_grasos_(menor);_ácido_norstictico_(principal)__±ácidos_grasos_(menor);_ácido_norstictico_(principal)__ácido_lobárico_(principal);_ácido_stictico_(principal)__ácido_norstictico_(principal)__±ácido_constictico_(menor)__±ácido_criptostictico_(menor)__±ácido_menegazziaico_(menor);_ácido_protocetrárico_(principal);_o_ninguno_detectado."
U_dur;Usnea_durietzii;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0
U_hie;Usnea_hieronymi;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0
U_kro;Usnea_krogiana;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0
U_lut;Usnea_lutii;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0
U_sax;Usnea_saxidilatata;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
Verr;Verrucaria_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X_cor;Xanthoparmelia_cordillerana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
