Number;name;1;2;3
1;Ch17;0.8622;0.0861;-0.7354
2;Ch18;1.099;0.64;-0.4628
3;Ch19A;1.218;0.2208;-0.4979
4;Ch19B;0.5796;0.8253;-1.0238
5;Ch7A;0.0633;0.0189;-0.7242
6;Ch7B;1.295;-0.1955;0.0474
7;Ch6A;1.2496;-0.0285;0.2423
8;Ch6B;0.2867;-0.9085;-0.18
9;Ch16;0.3375;-0.7556;0.3408
10;Ch5A;-0.1813;-0.2234;-0.7146
11;Ch5B;1.1733;-0.6049;-0.5857
12;Ch5C;0.4382;-0.8736;0.8966
13;Ch24;-0.5463;2.0685;-0.2382
14;Ch14A;0.1631;0.3746;0.2199
15;Ch14B;-0.1045;0.0514;-0.2221
16;Ch14C;-0.5714;0.0542;-0.5497
17;Ch15A;0.6037;-0.097;-0.6736
18;Ch15B;-0.2699;0.0463;-0.3882
19;Ch13A;-0.3323;-0.1252;-0.6553
20;Ch13B;-0.5019;-0.0543;-0.3739
21;Ch22A;1.133;-0.1233;0.4768
22;Ch22B;0.6386;0.2551;0.148
23;Ch23;0.7956;-0.049;0.3444
24;Ch25;0.0526;-0.2142;-0.0109
25;Ch2;-0.6746;-0.1653;-0.4947
26;Ch47;0.2707;-0.537;-0.4941
27;Ch31;0.8808;0.5386;0.2954
28;Ch45;-0.0818;1.0423;0.2965
29;Ch46;0.8664;-0.3992;0.0839
30;Ch44;-0.4851;-0.1493;-0.0663
31;Ch43;-0.7499;0.181;-0.0357
32;Ch21;-0.1605;-0.5041;0.0862
33;Ch11;0.4778;0.2182;1.1907
34;Ch10;1.2949;-0.4453;0.1298
35;Ch4;-0.0354;-0.4708;0.3455
36;Ch3;-0.6571;-0.4666;-0.1967
37;Ch12;-0.5683;0.1248;-0.2121
38;Ch27A;-0.1315;0.4575;0.7978
39;Ch27B;-0.5757;0.4835;0.4204
40;Ch26A;-0.0896;-0.0609;0.8514
41;Ch26B;-0.6438;-0.982;-0.1551
42;Ch30A;-1.0196;0.0031;0.0686
43;Ch30B;-0.8781;-0.1293;-0.2212
44;Ch30C;-0.73;0.2062;0.0435
45;Ch42;-0.4732;0.0477;0.1221
46;Ch41;-0.6679;0.0073;0.0734
47;Ch40;-0.8924;-0.0734;0.1886
48;Ch20A;0.1093;0.9767;-0.0409
49;Ch20B;-0.5664;-0.1008;-0.2021
50;Ch20C;0.4059;0.5472;1.3087
51;Ch29A;-0.9016;-0.0113;0.4582
52;Ch29B;-0.4098;0.1248;0.2153
53;Ch28A;-1.1809;-0.5473;0.3185
54;Ch28B;-1.214;-0.3042;0.1447
